Batch Size,Model Name,Compilation Type,Time,Device,Component
1,openMUSE/muse-laiona6-uvit-clip-220k,default,438.6,cpu,backbone
1,runwayml/stable-diffusion-v1-5,default,1940.9,cpu,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,442.3,cpu,backbone
1,runwayml/stable-diffusion-v1-5,reduce-overhead,1931.5,cpu,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,None,1000.8,cpu,backbone
2,runwayml/stable-diffusion-v1-5,None,5528.8,cpu,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,default,821.4,cpu,backbone
2,runwayml/stable-diffusion-v1-5,default,3526.2,cpu,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,827.1,cpu,backbone
2,runwayml/stable-diffusion-v1-5,reduce-overhead,3507.7,cpu,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,None,1800.0,cpu,backbone
4,runwayml/stable-diffusion-v1-5,None,10700.0,cpu,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,default,1700.0,cpu,backbone
4,runwayml/stable-diffusion-v1-5,default,6800.0,cpu,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1700.0,cpu,backbone
4,runwayml/stable-diffusion-v1-5,reduce-overhead,6800.0,cpu,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,None,4000.0,cpu,backbone
8,runwayml/stable-diffusion-v1-5,None,21800.0,cpu,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,default,3500.0,cpu,backbone
8,runwayml/stable-diffusion-v1-5,default,13400.0,cpu,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,3500.0,cpu,backbone
8,runwayml/stable-diffusion-v1-5,reduce-overhead,13500.0,cpu,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,None,7800.0,cpu,backbone
16,runwayml/stable-diffusion-v1-5,None,44100.0,cpu,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,default,7000.0,cpu,backbone
16,runwayml/stable-diffusion-v1-5,default,27000.0,cpu,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,7000.0,cpu,backbone
16,runwayml/stable-diffusion-v1-5,reduce-overhead,27000.0,cpu,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,None,18300.0,cpu,backbone
32,runwayml/stable-diffusion-v1-5,None,88700.0,cpu,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,default,14700.0,cpu,backbone
32,runwayml/stable-diffusion-v1-5,default,54100.0,cpu,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14900.0,cpu,backbone
32,runwayml/stable-diffusion-v1-5,reduce-overhead,54100.0,cpu,backbone
1,williamberman/laiona6plus_uvit_clip_f8,None,8.2,4090,backbone
1,williamberman/laiona6plus_uvit_clip_f8,default,5.5,4090,backbone
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3.5,4090,backbone
2,williamberman/laiona6plus_uvit_clip_f8,None,7.8,4090,backbone
2,williamberman/laiona6plus_uvit_clip_f8,default,5.3,4090,backbone
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3.8,4090,backbone
4,williamberman/laiona6plus_uvit_clip_f8,None,7.9,4090,backbone
4,williamberman/laiona6plus_uvit_clip_f8,default,5.6,4090,backbone
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4.2,4090,backbone
8,williamberman/laiona6plus_uvit_clip_f8,None,8.3,4090,backbone
8,williamberman/laiona6plus_uvit_clip_f8,default,6.6,4090,backbone
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.6,4090,backbone
16,williamberman/laiona6plus_uvit_clip_f8,None,15.1,4090,backbone
16,williamberman/laiona6plus_uvit_clip_f8,default,12.8,4090,backbone
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,13.0,4090,backbone
32,williamberman/laiona6plus_uvit_clip_f8,None,22.3,4090,backbone
32,williamberman/laiona6plus_uvit_clip_f8,default,18.0,4090,backbone
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,18.4,4090,backbone
1,williamberman/laiona6plus_uvit_clip_f8,None,25.8,a100,backbone
1,williamberman/laiona6plus_uvit_clip_f8,default,18.8,a100,backbone
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4.0,a100,backbone
2,williamberman/laiona6plus_uvit_clip_f8,None,25.9,a100,backbone
2,williamberman/laiona6plus_uvit_clip_f8,default,18.7,a100,backbone
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4.3,a100,backbone
4,williamberman/laiona6plus_uvit_clip_f8,None,25.9,a100,backbone
4,williamberman/laiona6plus_uvit_clip_f8,default,18.6,a100,backbone
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,5.0,a100,backbone
