Batch Size,Model Name,Compilation Type,Median,Mean,Device,Component,Timesteps,Max Memory
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,22.496266290545464,22.49803552404046,4090,vae,,909464576
8,openMUSE/muse-laiona6-uvit-clip-220k,None,48.28033410012722,48.28750133691799,4090,vae,,1513714688
8,openMUSE/muse-laiona6-uvit-clip-220k,default,48.34883473813534,48.33510744252375,4090,vae,,1513714688
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,48.29604551196098,48.2989971836408,4090,vae,,1513714688
16,openMUSE/muse-laiona6-uvit-clip-220k,None,94.365150667727,94.38184335489166,4090,vae,,2722214912
16,openMUSE/muse-laiona6-uvit-clip-220k,default,94.4227883592248,94.42804652181539,4090,vae,,2722214912
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,94.49166059494019,94.46294317868623,4090,vae,,2722214912
32,openMUSE/muse-laiona6-uvit-clip-220k,None,189.6930281072855,189.709416590631,4090,vae,,5139215360
32,openMUSE/muse-laiona6-uvit-clip-220k,default,189.77462826296687,189.73004507521787,4090,vae,,5139215360
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,189.74881898611784,189.72302010903755,4090,vae,,5139215360
1,openMUSE/muse-laiona6-uvit-clip-220k,None,104.25574658438563,104.26312973722816,4090,full,12,1744619008
1,openMUSE/muse-laiona6-uvit-clip-220k,None,163.32055535167456,163.4176392108202,4090,full,20,1744619008
1,openMUSE/muse-laiona6-uvit-clip-220k,default,104.60881376639009,104.57445280626416,4090,full,12,1744619008
1,openMUSE/muse-laiona6-uvit-clip-220k,default,163.84175792336464,163.79622330090828,4090,full,20,1744619008
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,104.72915973514318,104.7537506558001,4090,full,12,1744619008
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,163.75949699431658,163.737978653184,4090,full,20,1744619008
2,openMUSE/muse-laiona6-uvit-clip-220k,None,185.0303653627634,185.0661189916233,4090,full,12,1895799808
2,openMUSE/muse-laiona6-uvit-clip-220k,None,290.0837524794042,290.0574600789696,4090,full,20,1895799808
2,openMUSE/muse-laiona6-uvit-clip-220k,default,184.36879245564342,184.38486102968454,4090,full,12,1895799808
2,openMUSE/muse-laiona6-uvit-clip-220k,default,289.787451736629,289.8188896942884,4090,full,20,1895799808
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,184.87332621589303,184.9220977164805,4090,full,12,1895799808
